| end of epoch   1 | time: 44.63s | valid loss  5.82 | valid ppl   338.50 | valid bpc    8.403
| end of epoch   2 | time: 44.32s | valid loss  5.41 | valid ppl   224.26 | valid bpc    7.809
| end of epoch   3 | time: 44.84s | valid loss  5.20 | valid ppl   181.96 | valid bpc    7.507
| end of epoch   4 | time: 45.02s | valid loss  5.01 | valid ppl   149.31 | valid bpc    7.222
| end of epoch   5 | time: 44.93s | valid loss  4.88 | valid ppl   131.21 | valid bpc    7.036
| end of epoch   6 | time: 45.00s | valid loss  4.80 | valid ppl   121.66 | valid bpc    6.927
| end of epoch   7 | time: 44.53s | valid loss  4.74 | valid ppl   113.97 | valid bpc    6.832
| end of epoch   8 | time: 44.79s | valid loss  4.67 | valid ppl   106.60 | valid bpc    6.736
| end of epoch   9 | time: 44.50s | valid loss  4.62 | valid ppl   101.87 | valid bpc    6.671
| end of epoch  10 | time: 45.02s | valid loss  4.59 | valid ppl    98.20 | valid bpc    6.618
| end of epoch  11 | time: 44.76s | valid loss  4.57 | valid ppl    96.38 | valid bpc    6.591
| end of epoch  12 | time: 45.08s | valid loss  4.53 | valid ppl    92.80 | valid bpc    6.536
| end of epoch  13 | time: 44.84s | valid loss  4.51 | valid ppl    91.31 | valid bpc    6.513
| end of epoch  14 | time: 44.77s | valid loss  4.49 | valid ppl    89.40 | valid bpc    6.482
| end of epoch  15 | time: 43.84s | valid loss  4.47 | valid ppl    87.35 | valid bpc    6.449
| end of epoch  16 | time: 44.80s | valid loss  4.49 | valid ppl    88.78 | valid bpc    6.472
| end of epoch  17 | time: 44.71s | valid loss  4.45 | valid ppl    85.73 | valid bpc    6.422
| end of epoch  18 | time: 44.18s | valid loss  4.43 | valid ppl    84.07 | valid bpc    6.393
| end of epoch  19 | time: 44.13s | valid loss  4.41 | valid ppl    82.66 | valid bpc    6.369
| end of epoch  20 | time: 44.74s | valid loss  4.41 | valid ppl    82.10 | valid bpc    6.359
| end of epoch  21 | time: 44.50s | valid loss  4.42 | valid ppl    83.22 | valid bpc    6.379
| end of epoch  22 | time: 45.05s | valid loss  4.39 | valid ppl    80.84 | valid bpc    6.337
| end of epoch  23 | time: 44.35s | valid loss  4.38 | valid ppl    80.11 | valid bpc    6.324
| end of epoch  24 | time: 44.78s | valid loss  4.37 | valid ppl    79.28 | valid bpc    6.309
