| end of epoch   1 | time: 135.18s | valid loss  5.64 | valid ppl   280.33
| end of epoch   2 | time: 135.72s | valid loss  5.25 | valid ppl   190.46
| end of epoch   3 | time: 135.59s | valid loss  5.06 | valid ppl   157.43
| end of epoch   4 | time: 135.38s | valid loss  4.91 | valid ppl   134.99
| end of epoch   5 | time: 135.20s | valid loss  4.82 | valid ppl   124.00
| end of epoch   6 | time: 136.08s | valid loss  4.73 | valid ppl   112.81
| end of epoch   7 | time: 135.95s | valid loss  4.67 | valid ppl   106.65
| end of epoch   8 | time: 133.47s | valid loss  4.62 | valid ppl   101.79
| end of epoch   9 | time: 136.02s | valid loss  4.59 | valid ppl    98.96
| end of epoch  10 | time: 137.02s | valid loss  4.55 | valid ppl    94.56
| end of epoch  11 | time: 135.00s | valid loss  4.53 | valid ppl    92.55
| end of epoch  12 | time: 134.29s | valid loss  4.50 | valid ppl    90.07
| end of epoch  13 | time: 137.21s | valid loss  4.48 | valid ppl    88.46
| end of epoch  14 | time: 137.58s | valid loss  4.47 | valid ppl    87.42
| end of epoch  15 | time: 136.89s | valid loss  4.44 | valid ppl    85.06
| end of epoch  16 | time: 137.34s | valid loss  4.43 | valid ppl    83.77
| end of epoch  17 | time: 136.65s | valid loss  4.41 | valid ppl    82.67
| end of epoch  18 | time: 136.39s | valid loss  4.41 | valid ppl    81.93
| end of epoch  19 | time: 136.96s | valid loss  4.40 | valid ppl    81.70
| end of epoch  20 | time: 135.78s | valid loss  4.39 | valid ppl    80.57
| end of epoch  21 | time: 136.77s | valid loss  4.38 | valid ppl    79.94
| end of epoch  22 | time: 137.82s | valid loss  4.38 | valid ppl    79.85
| end of epoch  23 | time: 136.26s | valid loss  4.36 | valid ppl    77.93
| end of epoch  24 | time: 137.10s | valid loss  4.36 | valid ppl    78.19
| end of epoch  25 | time: 136.81s | valid loss  4.35 | valid ppl    77.25
| end of epoch  26 | time: 135.07s | valid loss  4.34 | valid ppl    76.59
| end of epoch  27 | time: 135.30s | valid loss  4.34 | valid ppl    76.72
| end of epoch  28 | time: 135.20s | valid loss  4.33 | valid ppl    76.23
| end of epoch  29 | time: 134.74s | valid loss  4.32 | valid ppl    75.38
| end of epoch  30 | time: 137.11s | valid loss  4.32 | valid ppl    75.00
| end of epoch  31 | time: 135.03s | valid loss  4.32 | valid ppl    75.51
| end of epoch  32 | time: 136.96s | valid loss  4.31 | valid ppl    74.69
| end of epoch  33 | time: 135.77s | valid loss  4.30 | valid ppl    74.00
| end of epoch  34 | time: 136.77s | valid loss  4.31 | valid ppl    74.21
| end of epoch  35 | time: 135.92s | valid loss  4.31 | valid ppl    74.55
| end of epoch  36 | time: 135.23s | valid loss  4.30 | valid ppl    73.92
| end of epoch  37 | time: 136.06s | valid loss  4.30 | valid ppl    74.06
| end of epoch  38 | time: 137.66s | valid loss  4.30 | valid ppl    74.02
| end of epoch  39 | time: 134.55s | valid loss  4.30 | valid ppl    73.36
| end of epoch  40 | time: 136.28s | valid loss  4.30 | valid ppl    73.41
| end of epoch  41 | time: 136.56s | valid loss  4.28 | valid ppl    72.41
| end of epoch  42 | time: 139.61s | valid loss  4.28 | valid ppl    72.51
| end of epoch  43 | time: 138.65s | valid loss  4.28 | valid ppl    72.41
| end of epoch  44 | time: 134.67s | valid loss  4.28 | valid ppl    72.06
| end of epoch  45 | time: 136.46s | valid loss  4.29 | valid ppl    72.62
| end of epoch  46 | time: 135.07s | valid loss  4.28 | valid ppl    72.01
| end of epoch  47 | time: 135.42s | valid loss  4.28 | valid ppl    71.89
| end of epoch  48 | time: 136.51s | valid loss  4.27 | valid ppl    71.46
| end of epoch  49 | time: 136.00s | valid loss  4.26 | valid ppl    71.07
| end of epoch  50 | time: 137.12s | valid loss  4.26 | valid ppl    71.14
| end of epoch  51 | time: 134.81s | valid loss  4.27 | valid ppl    71.28
| end of epoch  52 | time: 135.74s | valid loss  4.26 | valid ppl    70.98
| end of epoch  53 | time: 135.94s | valid loss  4.26 | valid ppl    71.16
| end of epoch  54 | time: 134.95s | valid loss  4.26 | valid ppl    70.68
| end of epoch  55 | time: 136.52s | valid loss  4.27 | valid ppl    71.26
| end of epoch  56 | time: 138.14s | valid loss  4.16 | valid ppl    64.00
| end of epoch  57 | time: 138.92s | valid loss  4.15 | valid ppl    63.58
| end of epoch  58 | time: 136.25s | valid loss  4.15 | valid ppl    63.28
| end of epoch  59 | time: 140.70s | valid loss  4.14 | valid ppl    63.02
| end of epoch  60 | time: 141.87s | valid loss  4.14 | valid ppl    62.82
| end of epoch  61 | time: 140.35s | valid loss  4.14 | valid ppl    62.66
| end of epoch  62 | time: 141.42s | valid loss  4.14 | valid ppl    62.52
| end of epoch  63 | time: 140.57s | valid loss  4.13 | valid ppl    62.41
| end of epoch  64 | time: 142.57s | valid loss  4.13 | valid ppl    62.29
| end of epoch  65 | time: 141.16s | valid loss  4.13 | valid ppl    62.20
| end of epoch  66 | time: 140.94s | valid loss  4.13 | valid ppl    62.12
| end of epoch  67 | time: 141.27s | valid loss  4.13 | valid ppl    62.04
| end of epoch  68 | time: 140.27s | valid loss  4.13 | valid ppl    61.97
| end of epoch  69 | time: 141.29s | valid loss  4.13 | valid ppl    61.90
| end of epoch  70 | time: 143.81s | valid loss  4.12 | valid ppl    61.84
| end of epoch  71 | time: 141.55s | valid loss  4.12 | valid ppl    61.78
| end of epoch  72 | time: 139.09s | valid loss  4.12 | valid ppl    61.72
| end of epoch  73 | time: 140.21s | valid loss  4.12 | valid ppl    61.66
| end of epoch  74 | time: 142.12s | valid loss  4.12 | valid ppl    61.62
| end of epoch  75 | time: 138.56s | valid loss  4.12 | valid ppl    61.57
| end of epoch  76 | time: 140.86s | valid loss  4.12 | valid ppl    61.52
| end of epoch  77 | time: 141.14s | valid loss  4.12 | valid ppl    61.48
| end of epoch  78 | time: 139.97s | valid loss  4.12 | valid ppl    61.43
| end of epoch  79 | time: 139.70s | valid loss  4.12 | valid ppl    61.39
| end of epoch  80 | time: 143.03s | valid loss  4.12 | valid ppl    61.35
| end of epoch  81 | time: 141.01s | valid loss  4.12 | valid ppl    61.30
| end of epoch  82 | time: 142.53s | valid loss  4.12 | valid ppl    61.26
| end of epoch  83 | time: 140.56s | valid loss  4.11 | valid ppl    61.22
| end of epoch  84 | time: 141.50s | valid loss  4.11 | valid ppl    61.18
| end of epoch  85 | time: 141.27s | valid loss  4.11 | valid ppl    61.14
| end of epoch  86 | time: 141.09s | valid loss  4.11 | valid ppl    61.10
| end of epoch  87 | time: 141.24s | valid loss  4.11 | valid ppl    61.06
| end of epoch  88 | time: 140.10s | valid loss  4.11 | valid ppl    61.03
| end of epoch  89 | time: 141.43s | valid loss  4.11 | valid ppl    60.99
