| end of epoch   1 | time: 50.63s | valid loss  5.74 | valid ppl   312.24 | valid bpc    8.287
| end of epoch   2 | time: 50.41s | valid loss  5.30 | valid ppl   199.97 | valid bpc    7.644
| end of epoch   3 | time: 50.34s | valid loss  5.11 | valid ppl   164.85 | valid bpc    7.365
| end of epoch   4 | time: 50.59s | valid loss  4.93 | valid ppl   138.71 | valid bpc    7.116
| end of epoch   5 | time: 50.38s | valid loss  4.82 | valid ppl   124.02 | valid bpc    6.954
| end of epoch   6 | time: 50.31s | valid loss  4.75 | valid ppl   115.06 | valid bpc    6.846
| end of epoch   7 | time: 50.21s | valid loss  4.67 | valid ppl   107.18 | valid bpc    6.744
| end of epoch   8 | time: 50.55s | valid loss  4.63 | valid ppl   102.34 | valid bpc    6.677
| end of epoch   9 | time: 50.42s | valid loss  4.58 | valid ppl    97.60 | valid bpc    6.609
| end of epoch  10 | time: 50.66s | valid loss  4.54 | valid ppl    93.34 | valid bpc    6.544
| end of epoch  11 | time: 50.52s | valid loss  4.53 | valid ppl    92.75 | valid bpc    6.535
| end of epoch  12 | time: 50.64s | valid loss  4.49 | valid ppl    88.82 | valid bpc    6.473
| end of epoch  13 | time: 50.44s | valid loss  4.48 | valid ppl    87.82 | valid bpc    6.456
| end of epoch  14 | time: 50.66s | valid loss  4.45 | valid ppl    85.45 | valid bpc    6.417
| end of epoch  15 | time: 50.47s | valid loss  4.44 | valid ppl    84.38 | valid bpc    6.399
| end of epoch  16 | time: 50.60s | valid loss  4.43 | valid ppl    83.74 | valid bpc    6.388
| end of epoch  17 | time: 50.70s | valid loss  4.41 | valid ppl    81.90 | valid bpc    6.356
| end of epoch  18 | time: 50.51s | valid loss  4.40 | valid ppl    81.22 | valid bpc    6.344
| end of epoch  19 | time: 50.81s | valid loss  4.38 | valid ppl    80.23 | valid bpc    6.326
| end of epoch  20 | time: 50.45s | valid loss  4.38 | valid ppl    79.45 | valid bpc    6.312
| end of epoch  21 | time: 50.95s | valid loss  4.36 | valid ppl    78.47 | valid bpc    6.294
| end of epoch  22 | time: 50.92s | valid loss  4.36 | valid ppl    78.08 | valid bpc    6.287
| end of epoch  23 | time: 50.95s | valid loss  4.35 | valid ppl    77.37 | valid bpc    6.274
| end of epoch  24 | time: 50.78s | valid loss  4.35 | valid ppl    77.22 | valid bpc    6.271
| end of epoch  25 | time: 50.82s | valid loss  4.34 | valid ppl    76.70 | valid bpc    6.261
| end of epoch  26 | time: 50.84s | valid loss  4.33 | valid ppl    76.32 | valid bpc    6.254
| end of epoch  27 | time: 51.02s | valid loss  4.33 | valid ppl    76.29 | valid bpc    6.253
| end of epoch  28 | time: 50.62s | valid loss  4.32 | valid ppl    75.32 | valid bpc    6.235
| end of epoch  29 | time: 51.11s | valid loss  4.32 | valid ppl    75.51 | valid bpc    6.239
| end of epoch  30 | time: 50.92s | valid loss  4.31 | valid ppl    74.29 | valid bpc    6.215
| end of epoch  31 | time: 50.83s | valid loss  4.31 | valid ppl    74.77 | valid bpc    6.224
| end of epoch  32 | time: 50.88s | valid loss  4.30 | valid ppl    73.94 | valid bpc    6.208
| end of epoch  33 | time: 50.71s | valid loss  4.30 | valid ppl    73.91 | valid bpc    6.208
