| end of epoch   1 | time: 851.53s | valid loss  5.72 | valid ppl   303.94
| end of epoch   2 | time: 854.02s | valid loss  5.34 | valid ppl   208.61
| end of epoch   3 | time: 852.90s | valid loss  5.12 | valid ppl   167.79
| end of epoch   4 | time: 852.58s | valid loss  4.99 | valid ppl   147.59
| end of epoch   5 | time: 853.41s | valid loss  4.91 | valid ppl   135.16
| end of epoch   6 | time: 851.71s | valid loss  4.83 | valid ppl   125.53
| end of epoch   7 | time: 853.28s | valid loss  4.77 | valid ppl   118.48
| end of epoch   8 | time: 853.70s | valid loss  4.73 | valid ppl   113.22
| end of epoch   9 | time: 853.38s | valid loss  4.70 | valid ppl   109.44
| end of epoch  10 | time: 853.69s | valid loss  4.66 | valid ppl   106.03
| end of epoch  11 | time: 852.65s | valid loss  4.63 | valid ppl   103.01
| end of epoch  12 | time: 853.52s | valid loss  4.63 | valid ppl   102.84
| end of epoch  13 | time: 852.12s | valid loss  4.60 | valid ppl    99.09
| end of epoch  14 | time: 851.16s | valid loss  4.59 | valid ppl    98.40
| end of epoch  15 | time: 853.62s | valid loss  4.60 | valid ppl    99.34
| end of epoch  16 | time: 853.98s | valid loss  4.56 | valid ppl    95.77
| end of epoch  17 | time: 853.86s | valid loss  4.55 | valid ppl    94.31
| end of epoch  18 | time: 854.74s | valid loss  4.55 | valid ppl    94.44
| end of epoch  19 | time: 854.18s | valid loss  4.53 | valid ppl    92.55
| end of epoch  20 | time: 852.54s | valid loss  4.53 | valid ppl    92.82
| end of epoch  21 | time: 852.29s | valid loss  4.51 | valid ppl    91.00
| end of epoch  22 | time: 852.97s | valid loss  4.50 | valid ppl    90.22
| end of epoch  23 | time: 853.68s | valid loss  4.50 | valid ppl    90.23
| end of epoch  24 | time: 852.59s | valid loss  4.49 | valid ppl    89.55
| end of epoch  25 | time: 852.32s | valid loss  4.49 | valid ppl    89.26
| end of epoch  26 | time: 852.78s | valid loss  4.48 | valid ppl    88.45
| end of epoch  27 | time: 853.39s | valid loss  4.49 | valid ppl    88.93
| end of epoch  28 | time: 853.42s | valid loss  4.48 | valid ppl    87.89
| end of epoch  29 | time: 853.29s | valid loss  4.47 | valid ppl    87.24
| end of epoch  30 | time: 854.19s | valid loss  4.47 | valid ppl    87.25
| end of epoch  31 | time: 851.38s | valid loss  4.46 | valid ppl    86.14
| end of epoch  32 | time: 851.66s | valid loss  4.46 | valid ppl    86.79
| end of epoch  33 | time: 853.67s | valid loss  4.45 | valid ppl    85.75
| end of epoch  34 | time: 852.60s | valid loss  4.45 | valid ppl    85.32
| end of epoch  35 | time: 850.27s | valid loss  4.45 | valid ppl    85.64
| end of epoch  36 | time: 853.47s | valid loss  4.44 | valid ppl    84.95
| end of epoch  37 | time: 851.16s | valid loss  4.44 | valid ppl    84.77
| end of epoch  38 | time: 849.62s | valid loss  4.44 | valid ppl    84.91
| end of epoch  39 | time: 850.91s | valid loss  4.43 | valid ppl    83.92
| end of epoch  40 | time: 852.45s | valid loss  4.43 | valid ppl    83.73
| end of epoch  41 | time: 851.97s | valid loss  4.42 | valid ppl    83.48
| end of epoch  42 | time: 852.27s | valid loss  4.42 | valid ppl    83.12
| end of epoch  43 | time: 850.34s | valid loss  4.42 | valid ppl    82.77
| end of epoch  44 | time: 851.84s | valid loss  4.42 | valid ppl    83.09
| end of epoch  45 | time: 850.54s | valid loss  4.42 | valid ppl    83.09
| end of epoch  46 | time: 851.49s | valid loss  4.42 | valid ppl    83.15
| end of epoch  47 | time: 851.36s | valid loss  4.42 | valid ppl    82.82
| end of epoch  48 | time: 854.40s | valid loss  4.40 | valid ppl    81.40
| end of epoch  49 | time: 852.64s | valid loss  4.41 | valid ppl    82.39
| end of epoch  50 | time: 852.32s | valid loss  4.40 | valid ppl    81.68
| end of epoch  51 | time: 849.83s | valid loss  4.40 | valid ppl    81.76
| end of epoch  52 | time: 851.80s | valid loss  4.42 | valid ppl    82.97
| end of epoch  53 | time: 858.75s | valid loss  4.28 | valid ppl    71.99
| end of epoch  54 | time: 861.10s | valid loss  4.27 | valid ppl    71.59
| end of epoch  55 | time: 859.80s | valid loss  4.27 | valid ppl    71.34
| end of epoch  56 | time: 860.14s | valid loss  4.26 | valid ppl    71.12
| end of epoch  57 | time: 861.23s | valid loss  4.26 | valid ppl    70.96
| end of epoch  58 | time: 859.88s | valid loss  4.26 | valid ppl    70.82
| end of epoch  59 | time: 860.10s | valid loss  4.26 | valid ppl    70.70
| end of epoch  60 | time: 859.01s | valid loss  4.26 | valid ppl    70.57
| end of epoch  61 | time: 858.88s | valid loss  4.26 | valid ppl    70.47
| end of epoch  62 | time: 859.60s | valid loss  4.25 | valid ppl    70.38
| end of epoch  63 | time: 856.77s | valid loss  4.25 | valid ppl    70.28
| end of epoch  64 | time: 861.14s | valid loss  4.25 | valid ppl    70.19
| end of epoch  65 | time: 861.28s | valid loss  4.25 | valid ppl    70.10
| end of epoch  66 | time: 859.43s | valid loss  4.25 | valid ppl    70.03
| end of epoch  67 | time: 861.20s | valid loss  4.25 | valid ppl    69.96
| end of epoch  68 | time: 860.71s | valid loss  4.25 | valid ppl    69.88
| end of epoch  69 | time: 859.99s | valid loss  4.25 | valid ppl    69.82
| end of epoch  70 | time: 859.96s | valid loss  4.24 | valid ppl    69.75
| end of epoch  71 | time: 861.15s | valid loss  4.24 | valid ppl    69.70
| end of epoch  72 | time: 860.02s | valid loss  4.24 | valid ppl    69.65
| end of epoch  73 | time: 861.56s | valid loss  4.24 | valid ppl    69.60
| end of epoch  74 | time: 862.13s | valid loss  4.24 | valid ppl    69.55
| end of epoch  75 | time: 859.00s | valid loss  4.24 | valid ppl    69.50
| end of epoch  76 | time: 860.03s | valid loss  4.24 | valid ppl    69.44
| end of epoch  77 | time: 860.54s | valid loss  4.24 | valid ppl    69.39
| end of epoch  78 | time: 860.71s | valid loss  4.24 | valid ppl    69.34
| end of epoch  79 | time: 861.66s | valid loss  4.24 | valid ppl    69.29
| end of epoch  80 | time: 860.22s | valid loss  4.24 | valid ppl    69.24
| end of epoch  81 | time: 859.21s | valid loss  4.24 | valid ppl    69.19
| end of epoch  82 | time: 859.28s | valid loss  4.24 | valid ppl    69.14
| end of epoch  83 | time: 859.76s | valid loss  4.24 | valid ppl    69.10
| end of epoch  84 | time: 859.42s | valid loss  4.23 | valid ppl    69.05
| end of epoch  85 | time: 856.48s | valid loss  4.23 | valid ppl    69.01
| end of epoch  86 | time: 856.46s | valid loss  4.23 | valid ppl    68.97
| end of epoch  87 | time: 855.56s | valid loss  4.23 | valid ppl    68.93
| end of epoch  88 | time: 856.10s | valid loss  4.23 | valid ppl    68.89
| end of epoch  89 | time: 861.19s | valid loss  4.23 | valid ppl    68.85
| end of epoch  90 | time: 860.70s | valid loss  4.23 | valid ppl    68.82
| end of epoch  91 | time: 859.49s | valid loss  4.23 | valid ppl    68.78
| end of epoch  92 | time: 858.48s | valid loss  4.23 | valid ppl    68.74
| end of epoch  93 | time: 860.87s | valid loss  4.23 | valid ppl    68.70
| end of epoch  94 | time: 858.00s | valid loss  4.23 | valid ppl    68.66
| end of epoch  95 | time: 857.43s | valid loss  4.23 | valid ppl    68.62
| end of epoch  96 | time: 860.61s | valid loss  4.23 | valid ppl    68.59
| end of epoch  97 | time: 860.26s | valid loss  4.23 | valid ppl    68.55
| end of epoch  98 | time: 858.02s | valid loss  4.23 | valid ppl    68.51
| end of epoch  99 | time: 860.83s | valid loss  4.23 | valid ppl    68.48
| end of epoch 100 | time: 861.13s | valid loss  4.23 | valid ppl    68.44
| end of epoch 101 | time: 859.55s | valid loss  4.23 | valid ppl    68.41
| end of epoch 102 | time: 858.70s | valid loss  4.23 | valid ppl    68.38
| end of epoch 103 | time: 858.73s | valid loss  4.22 | valid ppl    68.35
| end of epoch 104 | time: 857.41s | valid loss  4.22 | valid ppl    68.32
| end of epoch 105 | time: 858.37s | valid loss  4.22 | valid ppl    68.29
| end of epoch 106 | time: 853.20s | valid loss  4.22 | valid ppl    68.26
| end of epoch 107 | time: 857.01s | valid loss  4.22 | valid ppl    68.23
| end of epoch 108 | time: 859.95s | valid loss  4.22 | valid ppl    68.20
| end of epoch 109 | time: 859.94s | valid loss  4.22 | valid ppl    68.18
| end of epoch 110 | time: 858.64s | valid loss  4.22 | valid ppl    68.15
| end of epoch 111 | time: 862.18s | valid loss  4.22 | valid ppl    68.13
| end of epoch 112 | time: 863.40s | valid loss  4.22 | valid ppl    68.10
| end of epoch 113 | time: 862.00s | valid loss  4.22 | valid ppl    68.08
| end of epoch 114 | time: 861.93s | valid loss  4.22 | valid ppl    68.05
| end of epoch 115 | time: 862.16s | valid loss  4.22 | valid ppl    68.03
| end of epoch 116 | time: 862.15s | valid loss  4.22 | valid ppl    68.01
| end of epoch 117 | time: 861.61s | valid loss  4.22 | valid ppl    67.99
| end of epoch 118 | time: 861.07s | valid loss  4.22 | valid ppl    67.97
| end of epoch 119 | time: 859.57s | valid loss  4.22 | valid ppl    67.95
| end of epoch 120 | time: 861.88s | valid loss  4.22 | valid ppl    67.93
| end of epoch 121 | time: 860.31s | valid loss  4.22 | valid ppl    67.91
| end of epoch 122 | time: 861.50s | valid loss  4.22 | valid ppl    67.89
| end of epoch 123 | time: 859.90s | valid loss  4.22 | valid ppl    67.87
| end of epoch 124 | time: 862.93s | valid loss  4.22 | valid ppl    67.85
| end of epoch 125 | time: 858.77s | valid loss  4.22 | valid ppl    67.83
| end of epoch 126 | time: 860.74s | valid loss  4.22 | valid ppl    67.81
| end of epoch 127 | time: 860.40s | valid loss  4.22 | valid ppl    67.79
| end of epoch 128 | time: 861.15s | valid loss  4.22 | valid ppl    67.77
| end of epoch 129 | time: 861.28s | valid loss  4.22 | valid ppl    67.75
| end of epoch 130 | time: 862.70s | valid loss  4.22 | valid ppl    67.73
| end of epoch 131 | time: 862.58s | valid loss  4.22 | valid ppl    67.72
| end of epoch 132 | time: 861.51s | valid loss  4.22 | valid ppl    67.70
| end of epoch 133 | time: 860.88s | valid loss  4.21 | valid ppl    67.68
| end of epoch 134 | time: 862.97s | valid loss  4.21 | valid ppl    67.67
| end of epoch 135 | time: 861.94s | valid loss  4.21 | valid ppl    67.65
| end of epoch 136 | time: 859.66s | valid loss  4.21 | valid ppl    67.63
| end of epoch 137 | time: 859.69s | valid loss  4.21 | valid ppl    67.62
| end of epoch 138 | time: 860.75s | valid loss  4.21 | valid ppl    67.60
| end of epoch 139 | time: 861.54s | valid loss  4.21 | valid ppl    67.59
| end of epoch 140 | time: 856.48s | valid loss  4.21 | valid ppl    67.57
| end of epoch 141 | time: 860.61s | valid loss  4.21 | valid ppl    67.56
| end of epoch 142 | time: 861.17s | valid loss  4.21 | valid ppl    67.55
| end of epoch 143 | time: 861.52s | valid loss  4.21 | valid ppl    67.53
| end of epoch 144 | time: 861.54s | valid loss  4.21 | valid ppl    67.52
| end of epoch 145 | time: 861.53s | valid loss  4.21 | valid ppl    67.51
| end of epoch 146 | time: 861.96s | valid loss  4.21 | valid ppl    67.49
| end of epoch 147 | time: 860.11s | valid loss  4.21 | valid ppl    67.48
| end of epoch 148 | time: 861.26s | valid loss  4.21 | valid ppl    67.47
| end of epoch 149 | time: 863.37s | valid loss  4.21 | valid ppl    67.45
| end of epoch 150 | time: 861.89s | valid loss  4.21 | valid ppl    67.44
| end of epoch 151 | time: 862.12s | valid loss  4.21 | valid ppl    67.42
| end of epoch 152 | time: 863.52s | valid loss  4.21 | valid ppl    67.41
| end of epoch 153 | time: 862.58s | valid loss  4.21 | valid ppl    67.40
| end of epoch 154 | time: 859.24s | valid loss  4.21 | valid ppl    67.39
| end of epoch 155 | time: 860.09s | valid loss  4.21 | valid ppl    67.37
| end of epoch 156 | time: 861.08s | valid loss  4.21 | valid ppl    67.36
| end of epoch 157 | time: 860.35s | valid loss  4.21 | valid ppl    67.35
| end of epoch 158 | time: 860.60s | valid loss  4.21 | valid ppl    67.34
| end of epoch 159 | time: 859.57s | valid loss  4.21 | valid ppl    67.33
| end of epoch 160 | time: 861.78s | valid loss  4.21 | valid ppl    67.32
| end of epoch 161 | time: 860.68s | valid loss  4.21 | valid ppl    67.31
| end of epoch 162 | time: 858.50s | valid loss  4.21 | valid ppl    67.30
| end of epoch 163 | time: 860.91s | valid loss  4.21 | valid ppl    67.29
| end of epoch 164 | time: 860.04s | valid loss  4.21 | valid ppl    67.28
| end of epoch 165 | time: 859.66s | valid loss  4.21 | valid ppl    67.26
| end of epoch 166 | time: 860.63s | valid loss  4.21 | valid ppl    67.25
| end of epoch 167 | time: 861.14s | valid loss  4.21 | valid ppl    67.24
| end of epoch 168 | time: 861.91s | valid loss  4.21 | valid ppl    67.24
| end of epoch 169 | time: 859.33s | valid loss  4.21 | valid ppl    67.23
| end of epoch 170 | time: 860.09s | valid loss  4.21 | valid ppl    67.22
| end of epoch 171 | time: 860.21s | valid loss  4.21 | valid ppl    67.21
| end of epoch 172 | time: 859.85s | valid loss  4.21 | valid ppl    67.20
| end of epoch 173 | time: 860.87s | valid loss  4.21 | valid ppl    67.19
| end of epoch 174 | time: 859.96s | valid loss  4.21 | valid ppl    67.18
| end of epoch 175 | time: 862.04s | valid loss  4.21 | valid ppl    67.17
| end of epoch 176 | time: 860.12s | valid loss  4.21 | valid ppl    67.16
| end of epoch 177 | time: 862.64s | valid loss  4.21 | valid ppl    67.15
| end of epoch 178 | time: 860.80s | valid loss  4.21 | valid ppl    67.14
| end of epoch 179 | time: 859.50s | valid loss  4.21 | valid ppl    67.13
| end of epoch 180 | time: 859.82s | valid loss  4.21 | valid ppl    67.12
| end of epoch 181 | time: 862.30s | valid loss  4.21 | valid ppl    67.11
| end of epoch 182 | time: 861.19s | valid loss  4.21 | valid ppl    67.10
| end of epoch 183 | time: 860.91s | valid loss  4.21 | valid ppl    67.09
| end of epoch 184 | time: 861.25s | valid loss  4.21 | valid ppl    67.08
| end of epoch 185 | time: 862.55s | valid loss  4.21 | valid ppl    67.07
| end of epoch 186 | time: 860.13s | valid loss  4.21 | valid ppl    67.06
| end of epoch 187 | time: 862.20s | valid loss  4.21 | valid ppl    67.05
| end of epoch 188 | time: 862.23s | valid loss  4.21 | valid ppl    67.04
| end of epoch 189 | time: 861.16s | valid loss  4.21 | valid ppl    67.04
| end of epoch 190 | time: 859.71s | valid loss  4.21 | valid ppl    67.03
| end of epoch 191 | time: 860.85s | valid loss  4.21 | valid ppl    67.02
| end of epoch 192 | time: 861.03s | valid loss  4.20 | valid ppl    67.01
| end of epoch 193 | time: 860.15s | valid loss  4.20 | valid ppl    67.01
| end of epoch 194 | time: 861.38s | valid loss  4.20 | valid ppl    67.00
| end of epoch 195 | time: 861.70s | valid loss  4.20 | valid ppl    66.99
| end of epoch 196 | time: 861.83s | valid loss  4.20 | valid ppl    66.98
| end of epoch 197 | time: 860.13s | valid loss  4.20 | valid ppl    66.97
| end of epoch 198 | time: 861.08s | valid loss  4.20 | valid ppl    66.96
| end of epoch 199 | time: 860.03s | valid loss  4.20 | valid ppl    66.95
| end of epoch 200 | time: 860.03s | valid loss  4.20 | valid ppl    66.95
| end of epoch 201 | time: 860.37s | valid loss  4.20 | valid ppl    66.94
| end of epoch 202 | time: 860.52s | valid loss  4.20 | valid ppl    66.93
| end of epoch 203 | time: 861.50s | valid loss  4.20 | valid ppl    66.92
| end of epoch 204 | time: 859.36s | valid loss  4.20 | valid ppl    66.91
| end of epoch 205 | time: 859.70s | valid loss  4.20 | valid ppl    66.90
| end of epoch 206 | time: 862.20s | valid loss  4.20 | valid ppl    66.90
| end of epoch 207 | time: 859.40s | valid loss  4.20 | valid ppl    66.89
| end of epoch 208 | time: 861.45s | valid loss  4.20 | valid ppl    66.88
| end of epoch 209 | time: 861.21s | valid loss  4.20 | valid ppl    66.87
| end of epoch 210 | time: 859.12s | valid loss  4.20 | valid ppl    66.87
