| end of epoch   1 | time: 103.42s | valid loss  8.00 | valid ppl  2977.09 | valid bpc   11.540
| end of epoch   2 | time: 107.32s | valid loss  6.25 | valid ppl   515.67 | valid bpc    9.010
| end of epoch   3 | time: 105.85s | valid loss  5.95 | valid ppl   383.55 | valid bpc    8.583
| end of epoch   4 | time: 105.60s | valid loss  5.64 | valid ppl   281.18 | valid bpc    8.135
| end of epoch   5 | time: 105.44s | valid loss  5.46 | valid ppl   234.10 | valid bpc    7.871
| end of epoch   6 | time: 105.15s | valid loss  5.31 | valid ppl   202.42 | valid bpc    7.661
| end of epoch   7 | time: 105.15s | valid loss  5.24 | valid ppl   188.19 | valid bpc    7.556
| end of epoch   8 | time: 105.04s | valid loss  5.12 | valid ppl   166.80 | valid bpc    7.382
| end of epoch   9 | time: 105.17s | valid loss  5.05 | valid ppl   156.49 | valid bpc    7.290
| end of epoch  10 | time: 104.66s | valid loss  5.00 | valid ppl   147.69 | valid bpc    7.206
| end of epoch  11 | time: 104.68s | valid loss  4.93 | valid ppl   137.76 | valid bpc    7.106
| end of epoch  12 | time: 104.79s | valid loss  4.89 | valid ppl   132.59 | valid bpc    7.051
| end of epoch  13 | time: 104.61s | valid loss  4.87 | valid ppl   129.91 | valid bpc    7.021
| end of epoch  14 | time: 105.24s | valid loss  4.81 | valid ppl   123.14 | valid bpc    6.944
| end of epoch  15 | time: 105.21s | valid loss  4.79 | valid ppl   120.68 | valid bpc    6.915
| end of epoch  16 | time: 105.36s | valid loss  4.75 | valid ppl   115.40 | valid bpc    6.851
| end of epoch  17 | time: 105.13s | valid loss  4.75 | valid ppl   115.26 | valid bpc    6.849
| end of epoch  18 | time: 105.09s | valid loss  4.74 | valid ppl   114.14 | valid bpc    6.835
| end of epoch  19 | time: 104.76s | valid loss  4.68 | valid ppl   107.81 | valid bpc    6.752
| end of epoch  20 | time: 104.90s | valid loss  4.68 | valid ppl   107.59 | valid bpc    6.749
| end of epoch  21 | time: 104.95s | valid loss  4.67 | valid ppl   106.37 | valid bpc    6.733
| end of epoch  22 | time: 104.76s | valid loss  4.63 | valid ppl   102.83 | valid bpc    6.684
| end of epoch  23 | time: 105.13s | valid loss  4.61 | valid ppl   100.66 | valid bpc    6.653
